date,name,code,pre_close,open,high,low,close,vol,amount
2019-03-19,中融央视50ETF,159965.SZ,,,,,,,
2019-03-22,中融央视50ETF,159965.SZ,,,,,,,
2019-03-29,中融央视50ETF,159965.SZ,,,,,,,
2019-04-04,中融央视50ETF,159965.SZ,,,,,,,
2019-04-12,中融央视50ETF,159965.SZ,,,,,,,
2019-04-19,中融央视50ETF,159965.SZ,,,,,,,
2019-04-22,中融央视50ETF,159965.SZ,,,,,,,
2019-04-23,中融央视50ETF,159965.SZ,,,,,,,
2019-04-24,中融央视50ETF,159965.SZ,1.047,1.034,1.048,1.029,1.048,112780156.0,117206964.28
2019-04-25,中融央视50ETF,159965.SZ,1.048,1.041,1.046,1.026,1.026,28807623.0,29885988.81
2019-04-26,中融央视50ETF,159965.SZ,1.026,1.026,1.03,1.011,1.014,11858709.0,12102562.65
2019-04-29,中融央视50ETF,159965.SZ,1.014,1.014,1.032,1.011,1.018,15687379.0,16021862.72
2019-04-30,中融央视50ETF,159965.SZ,1.018,1.023,1.027,1.014,1.023,4623355.0,4722567.55
2019-05-06,中融央视50ETF,159965.SZ,1.023,1.0,1.0,0.957,0.976,17139907.0,16692154.84
2019-05-07,中融央视50ETF,159965.SZ,0.976,0.976,0.983,0.965,0.979,8027909.0,7835051.62
2019-05-08,中融央视50ETF,159965.SZ,0.979,0.947,0.977,0.94,0.961,4952081.0,4779841.34
2019-05-09,中融央视50ETF,159965.SZ,0.961,0.961,0.971,0.945,0.957,7999967.0,7640859.52
2019-05-10,中融央视50ETF,159965.SZ,0.957,0.958,0.977,0.952,0.977,5883749.0,5697552.01
2019-05-13,中融央视50ETF,159965.SZ,0.977,0.963,0.968,0.949,0.951,7661510.0,7341312.28
2019-05-14,中融央视50ETF,159965.SZ,0.951,0.945,0.958,0.943,0.949,4063101.0,3871880.75
2019-05-15,中融央视50ETF,159965.SZ,0.949,0.951,0.972,0.951,0.97,7135214.0,6878316.2
2019-05-16,中融央视50ETF,159965.SZ,0.97,0.969,0.976,0.962,0.975,3347323.0,3247673.26
2019-05-17,中融央视50ETF,159965.SZ,0.975,0.975,0.975,0.948,0.952,3937532.0,3757760.61
2019-05-20,中融央视50ETF,159965.SZ,0.952,0.95,0.954,0.938,0.953,6368829.0,6020463.85
2019-05-21,中融央视50ETF,159965.SZ,0.953,0.955,0.974,0.947,0.968,2473522.0,2386509.61
2019-05-22,中融央视50ETF,159965.SZ,0.968,0.969,0.969,0.95,0.955,10070514.0,9619188.36
2019-05-23,中融央视50ETF,159965.SZ,0.955,0.955,0.955,0.935,0.95,11773814.0,11053935.56
2019-05-24,中融央视50ETF,159965.SZ,0.95,0.94,0.945,0.931,0.933,17052700.0,15958046.4
2019-05-27,中融央视50ETF,159965.SZ,0.933,0.933,0.944,0.921,0.941,14000300.0,13035588.7
2019-05-28,中融央视50ETF,159965.SZ,0.941,0.942,0.954,0.938,0.943,13578692.0,12846292.03
2019-05-29,中融央视50ETF,159965.SZ,0.943,0.94,0.952,0.938,0.947,1873773.0,1771631.42
2019-05-30,中融央视50ETF,159965.SZ,0.947,0.95,0.95,0.933,0.939,4779313.0,4477576.86
2019-05-31,中融央视50ETF,159965.SZ,0.939,0.938,0.946,0.936,0.939,2270782.0,2133122.8
2019-06-03,中融央视50ETF,159965.SZ,0.939,0.942,0.947,0.934,0.94,1401821.0,1318041.41
2019-06-04,中融央视50ETF,159965.SZ,0.94,0.94,0.942,0.928,0.931,2455914.0,2292078.09
2019-06-05,中融央视50ETF,159965.SZ,0.931,0.935,0.94,0.932,0.935,1542117.0,1444239.91
2019-06-06,中融央视50ETF,159965.SZ,0.935,0.936,0.936,0.923,0.927,8186908.0,7602994.22
2019-06-10,中融央视50ETF,159965.SZ,0.927,0.937,0.944,0.925,0.941,2853153.0,2670416.22
2019-06-11,中融央视50ETF,159965.SZ,0.941,0.943,0.967,0.941,0.965,6171448.0,5905839.03
2019-06-12,中融央视50ETF,159965.SZ,0.965,0.968,0.968,0.955,0.96,1708204.0,1638046.04
