date,name,code,pre_close,open,high,low,close,vol,amount
2021-05-18,易方达恒生科技ETF(QDII),513010.SH,,,,,,,
2021-05-20,易方达恒生科技ETF(QDII),513010.SH,,,,,,,
2021-05-21,易方达恒生科技ETF(QDII),513010.SH,,,,,,,
2021-05-24,易方达恒生科技ETF(QDII),513010.SH,,,,,,,
2021-05-25,易方达恒生科技ETF(QDII),513010.SH,0.983,0.994,0.996,0.982,0.993,400968200.0,397541833.0
2021-05-26,易方达恒生科技ETF(QDII),513010.SH,0.993,1.0,1.002,0.993,0.996,217784501.0,217312172.0
2021-05-27,易方达恒生科技ETF(QDII),513010.SH,0.996,0.999,1.001,0.993,0.999,213006100.0,212509047.0
2021-05-28,易方达恒生科技ETF(QDII),513010.SH,0.999,1.001,1.003,0.982,0.985,243888399.0,242493113.0
2021-05-31,易方达恒生科技ETF(QDII),513010.SH,0.985,0.99,0.994,0.983,0.992,192228900.0,190036992.0
2021-06-01,易方达恒生科技ETF(QDII),513010.SH,0.992,0.997,1.021,0.996,1.02,443729201.0,449185376.0
2021-06-02,易方达恒生科技ETF(QDII),513010.SH,1.02,1.026,1.027,1.014,1.014,160558600.0,163544953.0
2021-06-03,易方达恒生科技ETF(QDII),513010.SH,1.014,1.015,1.025,1.008,1.01,164080600.0,167121981.0
2021-06-04,易方达恒生科技ETF(QDII),513010.SH,1.01,1.008,1.013,0.999,1.004,133493400.0,134364760.0
2021-06-07,易方达恒生科技ETF(QDII),513010.SH,1.004,1.006,1.007,0.992,0.998,127369100.0,127067362.0
2021-06-08,易方达恒生科技ETF(QDII),513010.SH,0.998,1.0,1.003,0.984,0.986,153332100.0,151943180.0
2021-06-09,易方达恒生科技ETF(QDII),513010.SH,0.986,0.987,0.992,0.983,0.985,63497600.0,62647134.0
2021-06-10,易方达恒生科技ETF(QDII),513010.SH,0.985,0.989,0.994,0.983,0.984,114191200.0,112848948.0
2021-06-11,易方达恒生科技ETF(QDII),513010.SH,0.984,0.988,0.997,0.985,0.986,85779100.0,84868384.0
2021-06-15,易方达恒生科技ETF(QDII),513010.SH,0.986,0.991,0.994,0.975,0.985,80340800.0,79014716.0
2021-06-16,易方达恒生科技ETF(QDII),513010.SH,0.985,0.983,0.985,0.972,0.974,98953300.0,96644760.0
2021-06-17,易方达恒生科技ETF(QDII),513010.SH,0.974,0.973,0.98,0.966,0.979,100489900.0,98076502.0
2021-06-18,易方达恒生科技ETF(QDII),513010.SH,0.979,0.986,1.005,0.986,0.999,146445100.0,146343337.0
2021-06-21,易方达恒生科技ETF(QDII),513010.SH,0.999,0.994,0.997,0.987,0.992,128714600.0,127555701.0
2021-06-22,易方达恒生科技ETF(QDII),513010.SH,0.992,0.993,0.996,0.979,0.981,123838600.0,121762078.0
2021-06-23,易方达恒生科技ETF(QDII),513010.SH,0.981,0.984,1.004,0.982,1.002,160543500.0,159364679.0
2021-06-24,易方达恒生科技ETF(QDII),513010.SH,1.002,1.002,1.01,1.001,1.004,122930200.0,123690478.0
2021-06-25,易方达恒生科技ETF(QDII),513010.SH,1.004,1.009,1.026,1.009,1.024,190105000.0,193839112.0
2021-06-28,易方达恒生科技ETF(QDII),513010.SH,1.024,1.025,1.033,1.024,1.027,77285400.0,79397569.0
2021-06-29,易方达恒生科技ETF(QDII),513010.SH,1.027,1.03,1.036,1.017,1.017,140523200.0,144232174.0
2021-06-30,易方达恒生科技ETF(QDII),513010.SH,1.017,1.028,1.029,1.016,1.018,88756200.0,90648597.0
2021-07-01,易方达恒生科技ETF(QDII),513010.SH,1.018,1.017,1.018,1.008,1.01,33679900.0,34095831.0
2021-07-02,易方达恒生科技ETF(QDII),513010.SH,1.01,1.011,1.011,0.984,0.987,91847500.0,91074649.0
2021-07-05,易方达恒生科技ETF(QDII),513010.SH,0.987,0.981,0.982,0.958,0.964,153265400.0,148370293.0
2021-07-06,易方达恒生科技ETF(QDII),513010.SH,0.964,0.965,0.966,0.946,0.956,180179900.0,171783605.0
2021-07-07,易方达恒生科技ETF(QDII),513010.SH,0.956,0.95,0.952,0.94,0.947,133313900.0,126110435.0
2021-07-08,易方达恒生科技ETF(QDII),513010.SH,0.947,0.947,0.947,0.917,0.919,221960700.0,206006145.0
2021-07-09,易方达恒生科技ETF(QDII),513010.SH,0.919,0.915,0.935,0.898,0.932,243872900.0,224568738.0
2021-07-12,易方达恒生科技ETF(QDII),513010.SH,0.932,0.939,0.945,0.929,0.94,130505000.0,122286889.0
2021-07-13,易方达恒生科技ETF(QDII),513010.SH,0.94,0.943,0.965,0.941,0.955,140268200.0,134050376.0
2021-07-14,易方达恒生科技ETF(QDII),513010.SH,0.955,0.957,0.964,0.955,0.956,124422700.0,119233351.0
2021-07-15,易方达恒生科技ETF(QDII),513010.SH,0.956,0.955,0.961,0.951,0.957,134103300.0,128330389.0
2021-07-16,易方达恒生科技ETF(QDII),513010.SH,0.957,0.958,0.959,0.948,0.952,97372200.0,92794638.0
2021-07-19,易方达恒生科技ETF(QDII),513010.SH,0.952,0.942,0.942,0.929,0.933,104157400.0,97274041.0
2021-07-20,易方达恒生科技ETF(QDII),513010.SH,0.933,0.927,0.937,0.914,0.92,139088100.0,128363452.0
2021-07-21,易方达恒生科技ETF(QDII),513010.SH,0.92,0.926,0.929,0.913,0.918,137058600.0,125946942.0
2021-07-22,易方达恒生科技ETF(QDII),513010.SH,0.918,0.924,0.936,0.924,0.932,110607200.0,102976333.0
2021-07-23,易方达恒生科技ETF(QDII),513010.SH,0.932,0.932,0.936,0.914,0.915,105331500.0,96974739.0
2021-07-26,易方达恒生科技ETF(QDII),513010.SH,0.915,0.8859999999999999,0.8909999999999999,0.847,0.861,330068200.0,285789453.0
2021-07-27,易方达恒生科技ETF(QDII),513010.SH,0.861,0.84,0.848,0.7929999999999999,0.7929999999999999,380929600.0,313288009.0
2021-07-28,易方达恒生科技ETF(QDII),513010.SH,0.7929999999999999,0.8009999999999999,0.8170000000000001,0.784,0.8029999999999999,313498100.0,250389739.0
2021-07-29,易方达恒生科技ETF(QDII),513010.SH,0.8029999999999999,0.848,0.867,0.84,0.86,267270000.0,228548788.0
2021-07-30,易方达恒生科技ETF(QDII),513010.SH,0.86,0.85,0.85,0.8270000000000001,0.838,213385100.0,178818111.0
2021-08-02,易方达恒生科技ETF(QDII),513010.SH,0.838,0.846,0.853,0.8340000000000001,0.8490000000000001,164774300.0,139322212.0
2021-08-03,易方达恒生科技ETF(QDII),513010.SH,0.8490000000000001,0.85,0.852,0.821,0.8390000000000001,225994000.0,188413794.0
2021-08-04,易方达恒生科技ETF(QDII),513010.SH,0.8390000000000001,0.833,0.8640000000000001,0.826,0.855,211731800.0,180084176.0
2021-08-05,易方达恒生科技ETF(QDII),513010.SH,0.855,0.8540000000000001,0.863,0.8370000000000001,0.838,166356800.0,141571118.0
2021-08-06,易方达恒生科技ETF(QDII),513010.SH,0.838,0.8420000000000001,0.847,0.8320000000000001,0.841,166639400.0,139997464.0
2021-08-09,易方达恒生科技ETF(QDII),513010.SH,0.841,0.83,0.846,0.825,0.8370000000000001,171076400.0,143072705.0
2021-08-10,易方达恒生科技ETF(QDII),513010.SH,0.8370000000000001,0.848,0.856,0.838,0.8540000000000001,181923000.0,154022436.0
2021-08-11,易方达恒生科技ETF(QDII),513010.SH,0.8540000000000001,0.8540000000000001,0.862,0.848,0.857,161876100.0,138517387.0
2021-08-12,易方达恒生科技ETF(QDII),513010.SH,0.857,0.856,0.856,0.838,0.84,221113200.0,187106639.0
2021-08-13,易方达恒生科技ETF(QDII),513010.SH,0.84,0.8320000000000001,0.836,0.82,0.823,180926809.0,149553730.0
2021-08-16,易方达恒生科技ETF(QDII),513010.SH,0.823,0.823,0.823,0.802,0.805,200450100.0,162175878.0
2021-08-17,易方达恒生科技ETF(QDII),513010.SH,0.805,0.8009999999999999,0.8029999999999999,0.78,0.784,243726100.0,193184398.0
2021-08-18,易方达恒生科技ETF(QDII),513010.SH,0.784,0.785,0.7929999999999999,0.7829999999999999,0.7829999999999999,131030600.0,103161627.0
2021-08-19,易方达恒生科技ETF(QDII),513010.SH,0.7829999999999999,0.7859999999999999,0.7879999999999999,0.7659999999999999,0.767,145812100.0,113053844.0
2021-08-20,易方达恒生科技ETF(QDII),513010.SH,0.767,0.763,0.763,0.733,0.748,222391700.0,166522369.0
2021-08-23,易方达恒生科技ETF(QDII),513010.SH,0.748,0.76,0.7759999999999999,0.758,0.76,188547400.0,144650935.0
2021-08-24,易方达恒生科技ETF(QDII),513010.SH,0.76,0.775,0.805,0.775,0.805,307227900.0,242948429.0
2021-08-25,易方达恒生科技ETF(QDII),513010.SH,0.805,0.828,0.8390000000000001,0.8009999999999999,0.802,475301400.0,387462593.0
2021-08-26,易方达恒生科技ETF(QDII),513010.SH,0.802,0.805,0.81,0.7859999999999999,0.7879999999999999,323326800.0,258127160.0
2021-08-27,易方达恒生科技ETF(QDII),513010.SH,0.7879999999999999,0.789,0.8079999999999999,0.789,0.79,321371900.0,256981620.0
2021-08-30,易方达恒生科技ETF(QDII),513010.SH,0.79,0.799,0.802,0.7859999999999999,0.7959999999999999,251261100.0,199677865.0
2021-08-31,易方达恒生科技ETF(QDII),513010.SH,0.7959999999999999,0.8,0.8170000000000001,0.787,0.816,321399100.0,257304735.0
2021-09-01,易方达恒生科技ETF(QDII),513010.SH,0.816,0.8270000000000001,0.843,0.821,0.8340000000000001,284649100.0,236966661.0
2021-09-02,易方达恒生科技ETF(QDII),513010.SH,0.8340000000000001,0.85,0.861,0.843,0.8490000000000001,340914800.0,290817833.0
2021-09-03,易方达恒生科技ETF(QDII),513010.SH,0.8490000000000001,0.847,0.847,0.8340000000000001,0.8370000000000001,297973100.0,250346381.0
2021-09-06,易方达恒生科技ETF(QDII),513010.SH,0.8370000000000001,0.8390000000000001,0.847,0.8340000000000001,0.843,260555900.0,219261039.0
2021-09-07,易方达恒生科技ETF(QDII),513010.SH,0.843,0.852,0.865,0.851,0.8590000000000001,230414099.0,197967605.0
2021-09-08,易方达恒生科技ETF(QDII),513010.SH,0.8590000000000001,0.8640000000000001,0.8690000000000001,0.853,0.855,259870800.0,223476531.0
2021-09-09,易方达恒生科技ETF(QDII),513010.SH,0.855,0.84,0.8440000000000001,0.8240000000000001,0.825,271668900.0,226023682.0
2021-09-10,易方达恒生科技ETF(QDII),513010.SH,0.825,0.8290000000000001,0.84,0.828,0.833,234705600.0,196141487.0
2021-09-13,易方达恒生科技ETF(QDII),513010.SH,0.833,0.8270000000000001,0.828,0.8109999999999999,0.8170000000000001,223356700.0,182882117.0
2021-09-14,易方达恒生科技ETF(QDII),513010.SH,0.8170000000000001,0.823,0.825,0.805,0.807,254206100.0,207691168.0
2021-09-15,易方达恒生科技ETF(QDII),513010.SH,0.807,0.8,0.802,0.785,0.787,234937200.0,186740168.0
2021-09-16,易方达恒生科技ETF(QDII),513010.SH,0.787,0.785,0.7909999999999999,0.767,0.7709999999999999,310336800.0,240837013.0
2021-09-17,易方达恒生科技ETF(QDII),513010.SH,0.7709999999999999,0.777,0.805,0.7759999999999999,0.8029999999999999,288688364.0,229283997.0
2021-09-22,易方达恒生科技ETF(QDII),513010.SH,0.8029999999999999,0.78,0.795,0.78,0.794,58258700.0,46042724.0
2021-09-23,易方达恒生科技ETF(QDII),513010.SH,0.794,0.8029999999999999,0.807,0.7829999999999999,0.787,233533700.0,185306260.0
2021-09-24,易方达恒生科技ETF(QDII),513010.SH,0.787,0.79,0.7909999999999999,0.772,0.773,237990000.0,186259588.0
2021-09-27,易方达恒生科技ETF(QDII),513010.SH,0.773,0.775,0.779,0.762,0.764,303926600.0,234212339.0
2021-09-28,易方达恒生科技ETF(QDII),513010.SH,0.764,0.7709999999999999,0.782,0.767,0.779,269839600.0,209261639.0
2021-09-29,易方达恒生科技ETF(QDII),513010.SH,0.779,0.768,0.7709999999999999,0.754,0.769,271743100.0,207361331.0
2021-09-30,易方达恒生科技ETF(QDII),513010.SH,0.769,0.7609999999999999,0.767,0.7559999999999999,0.765,257476500.0,195759316.0
2021-10-08,易方达恒生科技ETF(QDII),513010.SH,0.765,0.792,0.792,0.767,0.772,238193500.0,184555673.0
2021-10-11,易方达恒生科技ETF(QDII),513010.SH,0.772,0.782,0.802,0.782,0.795,338231290.0,268451490.0
2021-10-12,易方达恒生科技ETF(QDII),513010.SH,0.795,0.787,0.789,0.775,0.7759999999999999,200402400.0,156638563.0
2021-10-13,易方达恒生科技ETF(QDII),513010.SH,0.7759999999999999,0.773,0.78,0.7709999999999999,0.78,78558900.0,60962406.0
2021-10-14,易方达恒生科技ETF(QDII),513010.SH,0.78,0.784,0.789,0.782,0.787,59055200.0,46489989.0
2021-10-15,易方达恒生科技ETF(QDII),513010.SH,0.787,0.7859999999999999,0.7859999999999999,0.7759999999999999,0.782,215664900.0,168305318.0
2021-10-18,易方达恒生科技ETF(QDII),513010.SH,0.782,0.784,0.7879999999999999,0.773,0.777,194230733.0,151101121.0
2021-10-19,易方达恒生科技ETF(QDII),513010.SH,0.777,0.784,0.805,0.784,0.805,250902800.0,200059897.0
2021-10-20,易方达恒生科技ETF(QDII),513010.SH,0.805,0.818,0.83,0.815,0.8220000000000001,257265700.0,211762101.0
2021-10-21,易方达恒生科技ETF(QDII),513010.SH,0.8220000000000001,0.8270000000000001,0.8290000000000001,0.81,0.815,221693500.0,181760294.0
2021-10-22,易方达恒生科技ETF(QDII),513010.SH,0.815,0.8220000000000001,0.836,0.821,0.8320000000000001,192435300.0,159639535.0
2021-10-25,易方达恒生科技ETF(QDII),513010.SH,0.8320000000000001,0.831,0.8370000000000001,0.8240000000000001,0.833,158754700.0,131895882.0
2021-10-26,易方达恒生科技ETF(QDII),513010.SH,0.833,0.833,0.836,0.816,0.8170000000000001,162828400.0,134144654.0
2021-10-27,易方达恒生科技ETF(QDII),513010.SH,0.8170000000000001,0.805,0.805,0.79,0.7929999999999999,207446100.0,164903660.0
2021-10-28,易方达恒生科技ETF(QDII),513010.SH,0.7929999999999999,0.7979999999999999,0.8079999999999999,0.792,0.7959999999999999,153341400.0,122674439.0
2021-10-29,易方达恒生科技ETF(QDII),513010.SH,0.7959999999999999,0.795,0.7959999999999999,0.7859999999999999,0.7879999999999999,156106400.0,123466752.0
2021-11-01,易方达恒生科技ETF(QDII),513010.SH,0.7879999999999999,0.7829999999999999,0.785,0.774,0.778,185693400.0,144563032.0
2021-11-02,易方达恒生科技ETF(QDII),513010.SH,0.778,0.7979999999999999,0.8059999999999999,0.7809999999999999,0.782,238844000.0,189761604.0
2021-11-03,易方达恒生科技ETF(QDII),513010.SH,0.782,0.7829999999999999,0.785,0.767,0.775,253312600.0,196013578.0
2021-11-04,易方达恒生科技ETF(QDII),513010.SH,0.775,0.782,0.789,0.7809999999999999,0.782,151416000.0,118847742.0
2021-11-05,易方达恒生科技ETF(QDII),513010.SH,0.782,0.777,0.787,0.7759999999999999,0.78,136356800.0,106572174.0
2021-11-08,易方达恒生科技ETF(QDII),513010.SH,0.78,0.775,0.775,0.7659999999999999,0.7659999999999999,200044300.0,153756592.0
2021-11-09,易方达恒生科技ETF(QDII),513010.SH,0.7659999999999999,0.7709999999999999,0.775,0.762,0.767,145386100.0,111566737.0
2021-11-10,易方达恒生科技ETF(QDII),513010.SH,0.767,0.765,0.7759999999999999,0.7609999999999999,0.774,174242100.0,133835357.0
2021-11-11,易方达恒生科技ETF(QDII),513010.SH,0.774,0.775,0.804,0.774,0.802,296261600.0,233130519.0
2021-11-12,易方达恒生科技ETF(QDII),513010.SH,0.802,0.81,0.813,0.8,0.804,208054500.0,167851557.0
2021-11-15,易方达恒生科技ETF(QDII),513010.SH,0.804,0.81,0.815,0.807,0.81,155787700.0,126309597.0
